split,source,gn,es
train,abc,"Upéicha ojehechakuua ko'ágã, Quintanaomyakã Comisión de Asuntos Constitucionales Cámara Baja ha he'i kuri ha'e ome'êvo iñe'ê añeteguáva ipo ndoryrýitaha ojerurévo desafuero umi iñirûnguéra ojerurévo hese Fiscalía corrupción rehe.","Paradójicamente, Quintana preside la Comisión de Asuntos Constitucionales de la Cámara Baja y en su momento había prometido que no le temblaría el pulso para recomendar el desafuero de todos sus colegas requeridos por la Fiscalía en supuestos casos de corrupción."
train,abc,Oheka licitación ndaha'eveimái “eterna”,"No a concesiones ""eternas"""
train,abc,"Defensor del Pueblo, Miguel Godoy, opresenta Cámara de Diputado peteî proyecto ohekáva omoambue ""Ley de Concesiones obra ha servicio público-kuéra"", ha'éva licitaciones anitei oîve heta ary","El defensor del Pueblo, Miguel Godoy , presentó a la Cámara de Diputados un proyecto que busca modificar la ""Ley de Concesiones de obras y servicios públicos"", de manera que las licitaciones no duren más allá de los mandatos de los gobernantes."
train,abc,"Omyesakã defensor del Pueblo, ley N° 1618/2000 “Orekóva concesiones umi obra ha servicio público”, omopyendáva “a secas” pa'û oguerohorýva contrato de concesión orekóva obra ha servicio público 30 ary pukukue, ndahetái requisito, ome'êvo gobernador-kuéra, intendente ha ambue autoridad gobierno omopyendáva negociado oipysóva “toda una vida”, ha'ekuéra oipotaháicha ha ndaipóri control estricto.","Según explicó el defensor del Pueblo, la ley N° 1618/2000 “De concesiones de obras y servicios públicos”, establece “a secas” la posibilidad de celebrar contratos de concesión de obras o servicios públicos por hasta 30 años, sin mayores requisitos, permitiendo así que los gobernadores, intendentes y otras autoridades de gobierno puedan establecer grandes negociados que duren “toda una vida”, a su antojo y sin ningún control estricto."
train,abc,"Omopyenda defensor, ambue desventaja orekóva lesión de confianza orekóva prescripción poha ary, aníve oipyso concesiones 30 ary, ko'ã responsable delito ha'eháicha “tojeityvyro” jeiko asýgui.","Según detalló el defensor, otra desventaja es que la lesión de confianza tiene como prescripción cinco años, por lo que al prolongar las concesiones a 30 años, los responsables de delitos como estos pueden “zafar” de las penas."
train,abc,"“Ko'ã gobernación oreko derecho ome'êvo concesiones obra pública oguahë meve pe límite oimehápe mandatos, ha'éva lógico”, omoañete Miguel Godoy.","“Las gobernaciones tienen todo el derecho de hacer concesiones de obras públicas pero hasta el límite en que duren sus mandatos, es lo lógico”, aseveró Miguel Godoy."
train,abc,Agresión policial rehe oiko denuncia,Denuncian agresión policial
train,abc,"Kuñataî Cinthia Aquino, ojapo peteî denuncia Comisaría 3º Central-pe, he'i comisario ko tendágua, Víctor Vera, oinupã ipo ha hovapete ichupe, coekracha jave senador Óscar González Daher róga rovái.","Una mujer identificada como Cinthia Aquino denunció en la comisaría 3ª Central que el comisario de esta dependencia, Víctor Vera, la golpeó en las manos y en el rostro cuando se encontraban escrachando al senador Óscar González Daher frente a su casa."
train,abc,"Kuñataî ojerúre presencia fiscal upe tendápe, ojuhúvo upépe Jefe ramo ha ndaipóri garantía pe denuncia ojapóva ndogueroviái osegítaha.","La mujer solicitó presencia fiscal en el sitio, pues aseguró no tener ninguna garantía de que su denuncia fuera tomada con la debida seriedad."
train,abc,"Cinthia he'i comisario ombyepoti ichupe ofilma jave pe medida de fuerza icelular, ko'ã momento jefe policial oñeha'ã omo'ã cámara ha ohapejokóvo ojegrava jave, ha conflicto ko'ãva ndive, supuestamente pe uniformado oinupã ipo ha ome'ê tova jepete ichupe.","Cinthia relató que el comisario la golpeó mientras ella intentaba filmar la medida de fuerza con su celular, momento en que el jefe policial intentó tapar la cámara e impedirle que grababa, Fue entonces cuando se desarrolló un conflicto entre ambos, tras lo cual supuestamente el uniformado la golpeó en la mano y luego en el rostro."
train,abc,"Péicha oime avei Antonia Rojas, dirigente social San Lorenzo-gua, ohasa asúva avei ha osê traumatismo abdominal he'íva ogolpeágui chupe del comisario.","Otra de las agredidas, de acuerdo a relatos de testigos quienes estuvieron en el lugar, es Antonia Rojas, una dirigente social de la ciudad de San Lorenzo, quien sufrió un traumatismo abdominal supuestamente también ocasionado por un golpe del comisario en esa zona de su cuerpo."
train,abc,"Péicha testigo-kuéra, kuñataî ndikatúi ipytuhê upévare, ha ikangy chupe hetyma peteî.","De acuerdo a testigos, la mujer se quedó sin aire a consecuencia de la agresión, y se le adormecieron las piernas."
train,abc,Rojas nojapói Comisaría-pe denuncia péva opytágui internada Hospital Regional Luque-pe.,Rojas no se acercó hasta la comisaría a realizar la denuncia porque se encuentra internada en el Hospital Regional de Luque.
train,abc,"Teletón, con unión de todos va a la meta","Teletón, ojoaju opavave ndive ohekávo jehupyty oguahësêsévape"
train,abc,"Ange pyhare oñepyrû, ojehero “oñondíve más que nunca” Ojehero “joajúpe roime araka'eveháicha” ko'ã marandu oguerúva ta'arõ, maratón Teletón ohekáva aporte solidario opavavégui ohupytývo 14.412 millones de guaraníes, fondo oikotevêva sostenimiento irundýha centro de rehabilitación.","Comenzó anoche, con el lema “más unidos que nunca” y con mensajes de esperanza, el maratón de Teletón que busca el aporte solidario de la gente hasta alcanzar en total poco más de 14.412 millones de guaraníes, fondos que son necesarios para el sostenimiento de cuatro centros de rehabilitación."
train,abc,Ko'ãva ome'ê 120.000 atención gratuita káda ary oguahêvo.,Estos brindan unas 120.000 atenciones gratuitas por año.
train,abc,Marito ohustifica mba'ére ndohói ñe'ëjovake temimbo'e atýpe,Marito justifica ausencia a debate con estudiantes
train,abc,Presidenciable Mario Abdo Benítez oguenohë peteî comunicado oñemoñe'ëvo ani haguã oike debate -pe oipepirü chupe umi temimbo'e Universidad Nacional de Asunción (UNA)-gua.,El presidenciable Mario Abdo Benítez emitió un comunicado a través del cual argumentó por qué no asistirá al debate al que fue invitado por estudiantes de la Universidad Nacional de Asunción (UNA).
train,abc,"Omoherakuãva Federación de estudiantes Universidad Nacional de Asunción (UNA), ombyasýva candidato colorado presidencia Mario Abdo Benítez nde'íri mba'érepa ndohói ko'êrõ miércoles 21 de marzo, jefatura de campaña Lista 1 omyesakã presidenciable oikytîma debate ko'ã tendota apytépe, oikóva 15 de abril, ha oñembohasáva opavave canales de televisión, orekóva señal gratuita República-pe.","Tras el comunicado emitido por la Federación de estudiantes de la Universidad Nacional de Asunción (UNA), que lamentaron que el candidato colorado a la presidencia Mario Abdo Benítez no confirmara asistencia al debate que debía realizarse mañana miércoles 21 de marzo, la jefatura de campaña de la Lista 1 explicó que el presidenciable ya acordó participar de un debate entre candidatos, que se realizará el 15 de abril, y será transmitido por todos los canales de televisión, con señal gratuita para toda la República."
train,abc,"Péicha Abdo Benítez ombosako'i Fundación Desarrollo en Democracia (Dende), ha tendota ohustifica inegativa oimévo ambue debate-pe, he'ívo oñeikotevêha peteî formato ha péva esencial “otransmiti haguã idea hesakãva ciudadanía”.","El debate del que habla Abdo Benítez es organizado por la Fundación Desarrollo en Democracia (Dende), y el candidato justificó su negativa a participar en otro debate, diciendo que tanto la fecha como el formato son esenciales “para transmitir ideas claras a la ciudadanía”."
train,abc,"Péicha, he'íva marandu presidenciable ogueroviáva transmisión simutánea opavave ta'angambyrýpe.","Además, según dice el comunicado, el presidenciable considera fundamental la transmisión silumtánea por todos los canales de televisión del país."
train,abc,"Ko documento, tendota omokyre'ÿva “ombojoajúvo plenamente” ko'ã temimbo'e ijehupytyvoirãme omohenda tekombo'e primer lugar “ha'eháicha factor ojapóva oipysóvo Paraguáipe desarrollo”.","En el documento, el candidato enfatiza también que “coincide plenamente” con los estudiantes en el objetivo de colocar la educación en el primer lugar “como el único factor capaz de producir desarrollo en el Paraguay”."
train,abc,Oñeguenoh*ë kóvagui Ñomongeta peteîha tendápe oïva'erã “ péva tembiporu oñeikotevêva oñemopu'ã haguã peteî sociedad mejor”.,Rescató también la idea de poner al diálogo en primer lugar “como herramienta eficaz para la construcción de una sociedad mejor”.
train,abc,"Ko martes, ko'ã temimbo'e oikuaa upe marandu ombyasýva debate ojapóva Universidad Nacional de Asunción (UNA) ko'ã tendota presidencia Mario Abdo Benítez, Partido Colorado, ha Efraín Alegre, Alianza Ganar, ndikatumo'ãi, Abdo no confirmáigui ijeho.","En la tarde de este martes, los estudiantes emitieron un comunicado en el cual lamentaron que el debate previsto en la Universidad Nacional de Asunción (UNA) entre los candidatos a la presidencia Mario Abdo Benítez, del Partido Colorado, y Efraín Alegre, de la Alianza Ganar, no se podrá realizar, debido a que Abdo no confirmó presencia."
train,abc,Albergue ro'yeterei jave,Albergues para el intenso frío
train,abc,Refugio Secretaría de Emergencia Nacional (SEN) oime habilitado ko'ã ára ro'yetereívape umi tapicha ndorekóiva tenda oime haguã pyhare jave.,Los refugios de la Secretaría de Emergencia Nacional (SEN) están habilitados en estos días de intenso frío para las personas que no tienen dónde pasar la noche.
train,abc,Ojeguereko papapy telefónico ko'ã situación jave toñehenói.,Hay números telefónicos para alertar sobre este tipo de situaciones.
train,abc,"Operativo arar'y jave SEN oguahëvo arapytuho 10 °C guyre, péva ro'yetereirõ, principalmente pyhare ha ko'êmbotávo, ome'ë albergue umi persona oiméva situación de calle.","El operativo invierno de la SEN se activa cuando se pueden sentir temperaturas iguales o inferiores a 10 °C, por lo que en estos días de intenso frío, principalmente en horas de la madrugada, ofrece un albergue a las personas en situación de calle."
train,abc,"Ko'ã tendáre umi tapicha oreko tembi'u aku ha abrigo, avei oñemopotî haguã duchas y'aku.","En estos lugares, los beneficiados reciben alimentación y abrigos, además pueden higienizarse con duchas de agua caliente."
train,abc,"Avei umi albergue-pe, oñeikytî iñakãrague, ojeafeita, py ha ipo pyapê ñeikytî.","Inclusive en algunos albergues, las personas pueden recibir otros cuidados como corte de cabello, afeitada, manicura y pedicuro."
train,abc,"Ikatu oñehenói (021) 440 997/8 (SEN), sistema 911 Policía Nacional.","Para el efecto pueden llamar a los números (021) 440 997/8, de la SEN, o a través del sistema 911 de la Policía Nacional."
train,abc,Avei número 147 Secretaría Nacional de la Niñez y la Adolescencia.,En cuanto a menores de edad se refiere está disponible el número 147 de manera gratuita que se encuentra a cargo de la Secretaría Nacional de la Niñez y la Adolescencia.
train,abc,"Olimpia, ndojehapejokói temporada-pe","Olimpia, imbatible en la temporada"
train,abc,Olimpia omopyenda liderazgo oñepyrüvo goleada ohupytýva Para Uno péva Sol de América 4-0 ha oguahê 18 partido oficial temporada oikua'ÿre derrota (irundy ñeha'ã),"Olimpia consolidó su liderazgo en el Apertura con su goleada alcanzada ayer en Para Uno sobre Sol de América por 4-0 y llegó a 18 partidos oficiales en la temporada sin conocer derrotas (cuatro juegos fueron en el campo internacional), con un balance de 12 triunfos y seis empates."
train,abc,Declaración pública oikóva,Declaración de bienes es información pública
train,abc,"Juez Rubén Riquelme orresolve opáicha declaración jurada bienes de autoridades ha funcionario público interés general, upéva oikégui público.","Juez Rubén Riquelme resolvió que todas las declaraciones juradas de bienes de autoridades y funcionarios públicos son de interés general, por ende su acceso debe ser público."
train,abc,Péicha Contraloría oime obligada ome'ëvo información oikuaasévape,Con ello la Contraloría está obligada a dar acceso a esta información.
train,abc,Amparo omokyre'ÿva periodista Juan Carlos Lezcano Contraloría General de la República rehe ipahámpe omonéî chupe.,"El amparo promovido por el periodista Juan Carlos Lezcano en contra de la Contraloría General de la República, finalmente fue concedido."
train,abc,"Según resolución documento, ko'ágã ha'e omboguatáva informe oikéva funcionario público declarante ha ndaha'éi extensible umi pariente, mokõiha grado de consanguinidad peve.","Según consta en la resolución del documento, a partir de ahora se deberán enmarcar los informes solo dentro de los propios del funcionario público declarante y no será extensible a los que pertenezcan a sus parientes, hasta el segundo grado de consanguinidad."
train,abc,Kóva oho umi familia ndoikéiva ámbito público ha'égui bienes ohypýiva particular-kuéra ha ikatúva ndaha'éi funcionario del Estado.,Esto debido a que los familiares no están en el ámbito público por ser bienes afectados a particulares que pueden no ser funcionarios del Estado.
train,abc,Upévare juzgado oguerovia ko'ã bienes oñemanteneva'erã fuera de la información oñeme'ëva accionante.,Es por esto que el juzgado consideró que los bienes deben mantenerse fuera de la información a ser proporcionada al accionante.
train,abc,"Ko'ã dato oñeme'ëva ha'eva'erã pe ohupytýva totalidad activo ha pasivo funcionariado, ingreso ha gasto, oje'éva hendaitépe oïva ha ojevalorisáva tetãme ha okaháre.","Los datos a ser proporcionados deben ser los que abarcan la totalidad de los activos y pasivos del funcionariado, y de los ingresos y gastos, debidamente especificados y valorizados tanto en el país como en el extranjero."
train,abc,"He'iva'erã umi valor declarante, iñirü oikéva regimen comunidad ganancial de bienes, jepénte unión de hecho, ha mitã michîva oiméva ipoguýpe.","También se deberán expresar los valores respectivos del declarante, su cónyuge bajo régimen de comunidad ganancial de bienes, aún en caso de uniones de hecho, y de los hijos menores del mismo sometidos a su patria potestad."
train,abc,Comandante ohechakuaa ko tenda ojapi hikuái Rufino Acosta-pe,Comandante verifica sitio donde hirieron a Rufino Acosta
train,abc,"Comandante Policía Nacional, Gregorio Walter Vázquez, oime departamento Amambay-gua ohechávo personalmente tenda omanohágue tendota antisecuestro-gua.","El comandante de la Policía Nacional, Gregorio Walter Vázquez, se encuentra en el departamento de Amambay para verificar personalmente el sitio donde se produjo el enfrentamiento y la posterior muerte del subjefe Antisecuestro, Rufino Acosta."
train,abc,"Comandante Policía Nacional, Gregorio Walter Vázquez, oho pya'ete Capitán Bado gotyo ohechávo ha'ete pe ojehúva ha umi secuestradores ojapihague subjefe Antisecuestro, Rufino Acosta-pe.","El comandante de la Policía Nacional, Gregorio Walter Vázquez, viajó inmediatamente a Capitán Bado para verificar personalmente el lugar donde los secuestradores hirieron al subjefe Antisecuestro, Rufino Acosta."
train,abc,Subjefe Departamento Antisecuestro oime operativo omotenondéva Capitán Bado odesarticula haguére banda de secuestradores orekóva peteî tapichápe.,El subjefe del Departamento Antisecuestro participó del operativo realizado en Capitán Bado para desarticular una banda de secuestradores que mantenía en cautiverio a una persona.
train,abc,Upe enfrentamiento jave ojejapi peteîvape,Sin embargo durante el enfrentamiento fue herido de gravedad.
train,abc,Ojuka subjefe Antisecuestro-pe,Matan a subjefe Antisecuestro
train,abc,"Jepénte oñeha'ã umi pohanohára mba'eve ndikatúi ojejapo omongove haguã subjefe Rufino Acosta, iñakãme ojejapíva.","Pese al esfuerzo de los médicos, nada se pudo hacer para salvar la vida del subjefe Rufino Acosta, pues recibió el impacto de bala a la altura de la cabeza."
train,abc,"Policía Nacionalojuka peteî kuimba'e oîva banda de secuestradores mbytépe ha mbohapyha ojeheri ha oime hospital-pe, custodia policial.","Durante el enfrentamiento, la Policía Nacional logró abatir a los integrantes de la banda de secuestradores del norte del país, mientras que un tercer miembro resultó herido y se encuentra en el hospital bajo custodia policial."
train,abc,"Ko'ã secuestradores omantene Silvino Villalba ha icapataz, isãsõva pya'ete opaga rire rescate.","Los secuestradores mantenían secuestrados a Silvino Villalba y su capataz, quienes fueron liberados unas horas después del pago del rescate."
train,abc,Ko enfrentamiento oiko policía ojapóva tembiapo ojuhúvo secuestrador-kuérape.,El enfrentamiento se produjo cuando la policía realizaba trabajos para dar con la ubicación de los secuestradores.
train,abc,Peteî clavo US$ 600 millones,Un clavo de US$ 600 millones
train,abc,"Oñembya rire presidente de la República, el ministro de Educación orekonose oïha déficit US$ 600 millones osoluciona haguã precariedad mbo'eha kotýpe.","Tras reunirse con el presidente de la República, el ministro de Educación reconoció que hay un déficit de US$ 600 millones para solucionar la precariedad de las aulas."
train,abc,"Ñomongeta ojapóva tetã mburuvicha Horacio Cartes ndive Mburuvicha Rógape, ministro de Educación, Raúl Aguilera, he'i oñomongetávo apañuãi oïva problemática infraestructura mbo'ehaópe tetã pukukue oikotevê US$ 600 millones.","En una conferencia de prensa luego de reunirse con el presidente Horacio Cartes en Mburuvicha Róga, el recientemente asumido ministro de Educación, Raúl Aguilera, expresó que para brindar una solución integral a la problemática de infraestructura de las escuelas de todo el país se necesitan US$ 600 millones."
train,abc,"Liz del Padre, oisãmbyhýva Caja Fiscal omoañete Ministerio de Hacienda omba'apóha reforma sistema jubilatorio sector público, he'séva opokótaha umi aporte hetaite ary ojehepyme'êva ha edad oikotevêva jubilación oreko haguã.","Liz del Padre, directora de la Caja Fiscal confirmó que desde el Ministerio de Hacienda están trabajando en una reforma del sistema jubilatorio en el sector público, lo que palabras sencillas implicaría eventualmente tocar los años de aporte y la edad necesaria para la jubilación."
train,abc,"“Ñande Ministerio de Hacienda guive -ha ikatúva oikuaa ko'ã ára ojehúva- omba'apo ohechavo ha ojapóvo revisión integral ko'ã sistema de pensiones sector público, ko'ã sector oikéva caja fiscal,ha'éva umi irundy sector civil ha mokõi fuerza pública”, he'i Caja Fiscal encargada.","“Nosotros desde el Ministerio de Hacienda -y como podrán ver en los días sucesivos- estamos trabajando en realizar una revisión integral de todo el sistema de pensiones del sector público, de cada uno de los sectores que integran la caja fiscal, que son cuatro sectores civiles y dos de la fuerza pública”, dijo la encargada de la Caja Fiscal."
train,abc,"Ko'ã poteîha sector oikehápe sistema previsional público, mbohapy umi ogeneráva pérdida: Ko'ã militar, policía ha mbo'ehára.","Actualmente de estos seis sectores que integran el sistema previsional público, tres son los que generan pérdidas: Los militares, policías y docentes."
train,abc,Upéicha oimpacta hembyva rehe ha oho opyta peteî vosa añoitépe.,"No obstante esto impacta al resto, ya que todo va a parar a una misma bolsa."
train,abc,“Ko sistema ojehechahína.,“Todo el sistema está siendo sujeto a revisión.
train,abc,"Ore Ministerio de Hacienda guive romba'apo peteî proyecto orekóva añetehápe línea: primero, omombarete caja de jubilaciones, omokyre'ÿ sistema de información orekóva ha supuesto, opáichagua normativa ha regla ojerevisáva ha ojeporúva ko'ã ára ohóvape”, he'i.","Nosotros desde el Ministerio de Hacienda estamos trabajando con un proyecto que tiene realmente como línea: primero, el fortalecimiento de la caja de jubilaciones, también la optimización del sistema de información que tenemos y por supuesto, toda la revisión de la normativa y reglas que hoy rigen a la caja”, agregó."
train,abc,Pohanohára gremio ovy'a hikuái,Gremios festejan aumentos
train,abc,"Oñemopyendávo Poder Legislativo ohupytýva aumento salarial Presupuesto General de la Nación 2018, mbo'ehára ha mba'apohára de blanco ovy'a hikuái explanada plaza de Armas, Congreso rovái.","Tras la ratificación del Poder Legislativo de los aumentos salariales en el Presupuesto General de la Nación 2018, docentes y funcionarios de blanco festejaron con alegría en la explanada de la plaza de Armas, frente al Congreso Nacional."
train,abc,"Vy'apópe ha oï hasêva ojekuaávo ombotovévo diputado ha senadores pe veto oúva Horacio Cartes, ohupytýva directamente incremento omotenondéva presupuesto instituciones orekóva ha omba'apohápe hikuái.","Con gritos de júbilo y hasta con lágrimas festejaron el rechazo de diputados y senadores al veto de Horacio Cartes, que repercutirá directamente en un incremento en los presupuestos de las instituciones para las cuales prestan servicios."
train,abc,"Belén Montiel, omotenonde sector de la salud, he'íva ovy'aitereiha ha ome'ëva hi'aguyje, oñandúgui ko'ágã ae oïha hendivekuéra ha omoañete esfuerzo hesekuéra.","Belén Montiel, representante del sector de la salud, dijo que se encuentran ""felices y agradecidos"", pues, por primera vez, sintieron que los representantes estuvieron a favor de ellos y ""reconocieron el esfuerzo""."
train,abc,Omombe'u oïha aumento oikéva G. 800.000 ko'ã funcionario oganáva Gs. 2.000.000.,"Contó, a modo de ejemplo, que el aumento significará un ingreso de aproximadamente de G. 800.000 para cada funcionario que gane alrededor de G. 2.000.000."
train,abc,He'i ogueraháva 30 ary ombohasáva salud pública haohupytýva sueldo promedio G. 2.000.000.,Mencionó que hay funcionarios que llevan 30 años trabajando en salud pública y perciben un sueldo promedio de G. 2.000.000.
train,abc,Imandu'a ocho años rire ohupyty beneficio oguahëva chupekuéra.,Recordó que luego de ocho años recibirán un beneficio como este.
train,abc,"Omohu'ãva ogarantisa orekóha ""comportamiento del ministro (Enrique) Riera"".","Según concluyó, el sector está muy contento y garantiza el inicio de clases, aunque tendrán que ver ""el comportamiento del ministro (Enrique) Riera""."
train,abc,Japón Embajada oipytyvõ ha oinaugura puesto de salud Oñembohovasa puesto de salud ha ambue obra táva guasu MARIANO R. ALONSO gotyo.,Embajada de Japón inauguró puesto de salud y otras obras en varias ciudades MARIANO R. ALONSO.
train,abc,"Oipytyvõ peteî asistencia financiera no reembolsable oúva Japón guive ikatu haguã umi “Proyectos Comunitarios”, oguereko pytyvõ avei Itá ga Areguá gotyo.","A través de la asistencia financiera no reembolsable del Japón para “Proyectos Comunitarios”, esta embajada inauguró varias obras en Mariano Roque Alonso, Itá y Areguá."
train,abc,"Omotenonde guive programa de asistencia japonesa Paraguáipe ary 1989 jave, oñemoañete 375 proyecto, ko’ãva área educación ha salud, ohupytýva 23.327.000 dólar americano.","Desde la implementación de este programa de asistencia japonesa en el Paraguay en 1989 hasta la fecha, han sido concretados 375 proyectos, principalmente en las áreas de educación y salud, por el monto total de 23.327.000 de dólares americanos."
train,abc,"Embajador del Japón, Naohiro Ishida, ohecha obra pyahu ha’e´va Puesto de Salud San Jorge, oïva Roque Alonso-pe voi.","El embajador del Japón, Naohiro Ishida, presenció la inauguración de la obra edilicia del Puesto de Salud San Jorge, ubicado en el barrio que lleva el mismo nombre en esta ciudad."
train,abc,Embajada omotenonde construcción ha Municipalidad local ome’ê terreno ha inmueble equipamiento.,La embajada se encargó de la construcción y la Municipalidad local donó el terreno y los inmuebles para el equipamiento.
train,abc,"Pe dispensario médico oreko pediatría, ginecología, clínica médica en general, odontología avei peteî farmacia social.","El dispensario médico cuenta con atención en pediatría, en ginecología, clínica médica en general, en odontología y también dispone de una farmacia social."
train,abc,Ko acto oñemotenonde salón auditorio Padre Domiciano Ramírez gobernación-pe.,El acto se realizó en el salón auditorio Padre Domiciano Ramírez de la gobernación.
train,abc,"Umi proclamado ha'e: Arístides Ismael Almeida (ANR), Alberto Damián Ghiringhelli (PLRA), Jorge Emmanuel Cuevas Maciel (ANR), Jorge Ríos(ANR), Joel Agüero (PLRA), Rigoberto López Antola(ANR), Orlando Javier Benítez (ANR), Alcides Ortellado (PLRA) ha Ludmila Riveros de Sánchez PLRA, ha'e representante legislativo oiméhape hetáve kuimba'e.","Los proclamados son: Arístides Ismael Almeida (ANR), Alberto Damián Ghiringhelli (PLRA), Jorge Emmanuel Cuevas Maciel (ANR), Jorge Ríos(ANR), Joel Agüero (PLRA), Rigoberto López Antola(ANR), Orlando Javier Benítez (ANR), Alcides Ortellado (PLRA) y Ludmila Riveros de Sánchez del PLRA, la solitaria representante en un cuerpo legislativo integrado mayoritariamente por varones."
train,abc,"Oime hikuái Junta Departamental omoirûva gobernador Luis Benítez ANR, 15 jasypokõi oúvape.","Los mismos integrarán la Junta Departamental que acompañarán al electo gobernador Luis Benítez de la ANR, desde el 15 de agosto próximo."
train,abc,Kuñanguéra ojerúre topa violencia,Mujeres exigen fin a violencia
train,abc,"Heta manifestante, ko'ã kuñanguéra, oñembyatýva Catedral Metropolitana de Asunción ko'ã ára pyhare ojerure´va hikuái: Topa aníve oî violencia de género.","Cientos de manifestantes, principalmente mujeres, se concentran frente a la Catedral Metropolitana de Asunción en horas de esta noche para expresar un solo reclamo: No más violencia de género."
train,abc,"Kuñanguéra oñembyaty hikuái peteî tendaoimehápe ohasamívo 20:00 aravo, opurahéi umi pancarta ha heta ojuhúva violencia contra la mujer, orekóva protesta ojeheróva ""Ni una menos"".","Las mujeres se congregaron en el sitio acordado minutos después de las 20:00, y con cánticos, pancartas y mucha vehemencia, dijeron un no rotundo a la violencia contra la mujer, en el marco de la protesta denominada ""Ni una menos""."
train,abc,"Ojeguerohorývo kuñanguéra oîva ypytû oîháme crueldad ha agresión oiporúva jahéi vai oinupãvo, hendy 48 tataindy explanada Catedral Metropolitana.","En homenaje a las mujeres cuyas vidas fueron segadas debido a la crueldad y la agresión con la que fueron golpeadas, se encendieron 48 velas en la explanada de la Catedral Metropolitana."
train,abc,Maymáva ombojoaju sapukái orekóva peteî pedido: topa violencia kuñanguéra rehe.,Todas unieron sus voces en un grito contundente que tenía un único pedido: no más violencia hacia ellas.
